Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_329.jpg;0;0;0;0;100.4851;85.96935;0.0002355637;280.0086;1.32827E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_407.jpg;0;0;0;0;100.4851;85.96935;0.0002353158;280.0086;1.045207E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_489.jpg;0;0;0;0;100.4851;85.96935;0.000234787;280.0086;9.306547E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_566.jpg;0;0;0;0;100.4851;85.96935;0.0002341096;280.0086;8.910562E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_645.jpg;-2.382284;0;0;0;100.4851;85.96935;0.000233614;279.7227;8.975676E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_686.jpg;-4.68351;0;0;0;100.4851;85.96935;0.0002334975;279.1607;9.250841E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_765.jpg;-9.499499;0;0;0;100.4851;85.96935;0.0002341496;277.1603;1.322521E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_805.jpg;-11.90193;0;0;0;100.4851;85.96935;0.0002344411;275.7321;1.708515E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_847.jpg;-9.468348;0;0;0;100.4851;85.96935;0.0002349009;274.5959;1.940527E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_889.jpg;-6.980733;0;0;0;100.4851;85.96935;0.0002345065;273.7582;2.01244E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_970.jpg;-2.125562;0;0;0;100.4851;85.96935;0.0002345101;272.9689;1.919997E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_013.jpg;0;0;0;0;100.4851;85.96935;0.0002344639;272.9689;1.741632E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_093.jpg;0;0;0;0;100.4851;85.96935;0.0002343612;272.9689;1.34556E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_173.jpg;0;0;0;0;100.4851;85.96935;0.0002342491;272.9689;9.128157E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_243.jpg;0;0;0;0;100.4851;85.96935;0.000234132;272.9689;4.610676E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_294.jpg;0;0;0;0;100.4851;85.96935;0.0002340728;272.9689;2.323598E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_337.jpg;0;0;0;0;100.4851;85.96935;0.0002341974;272.9689;-1.102549E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_377.jpg;0;0;0;0;100.4851;85.96935;0.0002337117;272.9689;-3.368565E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_420.jpg;0;0;0;0;100.4851;85.96935;0.000234081;272.9689;-5.596692E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_499.jpg;0;0;0;0;100.4851;85.96935;0.0002339963;272.9689;-8.867281E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_581.jpg;-2.326808;0;0;0;100.4851;85.96935;0.000234625;272.6897;-9.687335E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_660.jpg;-7.200069;0;0;0;100.4851;85.96935;0.0002347151;271.2422;-7.96934E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_700.jpg;-9.597415;0;0;0;100.4851;85.96935;0.0002369181;270.0905;-5.302463E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_740.jpg;-7.194681;0;0;0;100.4851;85.96935;0.0002367368;269.2272;-3.360253E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_821.jpg;-2.387749;0;0;0;100.4851;85.96935;0.0002386957;268.3679;-2.932332E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_866.jpg;0;0;0;0;100.4851;85.96935;0.0002391499;268.3679;-4.843714E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_949.jpg;0;0;0;0;100.4851;85.96935;0.0002394163;268.3679;-8.563883E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_51_990.jpg;0;0;0;0;100.4851;85.96935;0.0002394418;268.3679;-1.034962E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_030.jpg;0;0;0;0;100.4851;85.96935;0.0002394663;268.3679;-1.206867E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_076.jpg;0;0;0;0;100.4851;85.96935;0.0002394896;268.3679;-1.370768E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_155.jpg;0;0;0;0;100.4851;85.96935;0.000239532;268.3679;-1.668225E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_196.jpg;0;0;0;0;100.4851;85.96935;0.0002395504;268.3679;-1.797778E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_237.jpg;0;0;0;0;100.4851;85.96935;0.0002395739;268.3679;-1.962347E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_279.jpg;0;0;0;0;100.4851;85.96935;0.0002395863;268.3679;-2.049883E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_361.jpg;0;0;0;0;100.4851;85.96935;0.0002396029;268.3679;-2.165931E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_402.jpg;0;0;0;0;100.4851;85.96935;0.0002396065;268.3679;-2.191775E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_52_444.jpg;0;0;0;0;100.4851;85.96935;0.000239607;268.3679;-2.195276E-05
